userId,name,brand,rating
0,lime basil & mandarin,jomalone,5.0
0,warm cotton,clean,4.0
0,blackberry & bay,jomalone,4.0
0,gypsy water,byredo,5.0
0,mojave ghost,byredo,2.0
0,slow dance,byredo,3.0
0,wood sage & sea salt,jomalone,5.0
1,eau triple lichen d'ecosse,buly 1803,3.0
1,blackberry & bay,jomalone,4.0
1,peony & blushsuede,jomalone,4.0
1,alizarin,penhaligon's,3.0
1,l'ombre dans l'eau eau de toilette,diptyque,4.0
1,eclat d'arpege pour homme,lanvin,5.0
1,modern princess,lanvin,5.0
1,rumeur 2 rose,lanvin,2.0
1,secret wish,anna sui,4.0
1,fantasia,anna sui,3.0
1,chance eau tendre,chanel,3.0
2,eclat d'arpege,lanvin,5.0
2,jeanne lanvin,lanvin,5.0
2,english pear & fressia,jomalone,5.0
2,illicit flower,jimmy choo,5.0
2,jimmy choo,jimmy choo,3.0
2,flight of fancy,anna sui,3.0
3,lucky wish,anna sui,4.0
3,blanche,byredo,5.0
3,pansy,lush,5.0
3,artisan,john varvatos,3.0
3,chanel no 5 eau de parfum,chanel,3.0
3,eclat d'arpege pour homme,lanvin,3.0
3,miss dior blooming bouquet,christian dior,2.0
3,melograno,santa maria novella,5.0
3,b scent,lush,4.0
3,english pear & fressia,jomalone,4.0
3,은은한 비누,paffem,3.0
3,j'adore,christian dior,4.0
4,ck all,calvin klein,4.0
4,chanel no 5 l'eau,chanel,4.0
4,vetyverio eau de toilette,diptyque,5.0
4,grey vetiver,tom ford,5.0
4,creed original vétiver,creed,5.0
4,warm cotton,clean,5.0
4,blue glow by jlo,jennifer lopez,3.0
4,artisan,john varvatos,3.0
4,sweety gourmand,argenia,5.0
4,gabrielle,chanel,2.0
4,libre,yves saint laurent,4.0
4,wood sage & sea salt,jomalone,4.0
4,bvlgari pour homme,bvlgari,5.0
5,blackberry & bay,jomalone,4.0
5,wood sage & sea salt,jomalone,5.0
5,jimmy choo,jimmy choo,3.0
5,sweety gourmand,argenia,4.0
5,잔느 사마리의 초상,향기의미술관,3.0
5,레이디 고디바,향기의미술관,3.0
5,chanel no 5 eau de parfum,chanel,3.0
5,gypsy water,byredo,4.0
5,rose noir,byredo,4.0
5,what would love do,lush,3.0
5,dirty,lush,2.0
5,rose jam,lush,4.0
5,american cream,lush,3.0
5,pansy,lush,4.0
5,dalilight,salvador dali,4.0
5,j'adore in joy,christian dior,3.0
5,jasmin perle de thé,fragonard,5.0
6,tacit,aesop,3.0
6,lucky wish,anna sui,4.0
6,eclat d'arpege pour homme,lanvin,4.0
6,mademoiselle rochas,rochas,1.0
6,blackberry & bay,jomalone,5.0
6,warm cotton,clean,4.0
6,wood sage & sea salt,jomalone,4.0
6,do son eau de toilette,diptyque,2.0
6,tam dao eau de toilette,diptyque,3.0
6,jeanne lanvin,lanvin,3.0
6,flower by kenzo,kenzo,4.0
6,blue glow by jlo,jennifer lopez,4.0
7,blanche,byredo,4.0
7,musk pure,tom ford,4.0
7,baccarat rouge 540,maison francis kurkdjian,4.0
7,jeanne lanvin,lanvin,3.0
7,white tea,elizabeth arden,3.0
7,nuit et confidences,annick goutal,5.0
7,amber musk,aerin lauder,3.0
7,prada candy kiss,prada,5.0
7,prada candy l'eau,prada,4.0
7,pomelo paradis,atelier cologne,4.0
8,incanto charms,salvatore ferragamo,5.0
8,coco mademoiselle l'eau privée,chanel,3.0
8,kenzo homme eau de parfum,kenzo,4.0
8,eclat d’arpège,lanvin,4.0
8,miss dior blooming bouquet,christian dior,2.0
8,flower by kenzo,kenzo,2.0
8,jeanne lanvin,lanvin,3.0
8,blue glow by jlo,jennifer lopez,4.0
8,dolce peony,dolce&gabbana,2.0
8,l’eau de toilette,carven,3.0
8,wood sage & sea salt,jomalone,4.0
8,blackberry & bay,jomalone,5.0
8,english pear & fressia,jomalone,4.0
8,nectarine blossom & honey,jomalone,5.0
8,dalilight,salvador dali,5.0
8,gucci bloom,gucci,3.0
8,modern princess,lanvin,3.0
8,warm cotton,clean,2.0
8,bel azur,tory burch,4.0
8,omnia amethyste,bvlgari,4.0
9,fig & lotus flower,jo malone london,5.0
9,eclat d'arpege pour homme,lanvin,5.0
9,ferrari light essence,ferrari,3.0
9,peony & blushsuede,jomalone,5.0
9,fantasia mermaid,anna sui,2.0
9,chloe eau de parfum,chloé,5.0
9,wood sage & sea salt,jomalone,5.0
10,ck be,calvin klein,5.0
10,ck one,calvin klein,3.0
10,blue glow by jlo,jennifer lopez,5.0
10,4711 acqua colonia blood orange & basil,4711,3.0
10,ck one shock for her,calvin klein,4.0
10,amazing grace ballet rose,philosophy,4.0
10,amazing grace,philosophy,2.0
10,romantica exotica,anna sui,1.0
10,romantica,anna sui,2.0
10,incanto charms,salvatore ferragamo,5.0
10,burberry brit sheer,burberry,4.0
10,flower by kenzo,kenzo,4.0
10,코튼허그,포맨트,3.0
10,코튼키스,포맨트,4.0
10,eclat d'arpege pour homme,lanvin,5.0
10,jeanne,lanvin,4.0
11,daisy love,marc jacobs,4.0
11,mon paris,yves saint laurent,5.0
11,blossom,jimmy choo,3.0
11,blue glow by jlo,jennifer lopez,4.0
11,chloe eau de parfum,chloé,3.0
12,white musk,the body shop,4.0
12,american cream,lush,5.0
12,frangipani,lush,5.0
12,dirty,lush,3.0
12,junk,lush,5.0
12,english pear & fressia,jomalone,5.0
12,lime basil & mandarin,jomalone,5.0
12,wood sage & sea salt,jomalone,4.0
12,marry me,lanvin,1.0
12,eclat d'arpege pour homme,lanvin,2.0
13,green tea,elizabeth arden,2.0
13,marry me,lanvin,4.0
13,secret wish,anna sui,5.0
13,la vie de boheme,anna sui,3.0
13,chanel no 5 eau de parfum,chanel,2.0
13,earlgrey & cucumber,jomalone,3.0
13,blossom,jimmy choo,4.0
13,lilas mauve,yves rocher,5.0
13,nectarine blossom & honey,jomalone,3.0
13,blackberry & bay,jomalone,4.0
13,bergamote 22,le labo,4.0
14,coco mademoiselle,chanel,3.0
14,mon paris,yves saint laurent,2.0
14,oyedo,diptyque,3.0
14,miss dior blooming bouquet,christian dior,4.0
14,flower by kenzo,kenzo,3.0
14,chanel no 5 l'eau,chanel,3.0
14,jimmy choo,jimmy choo,3.0
14,love affair,eisenberg,5.0
14,valentino donna,valentino,4.0
14,la nuit de bohème,anna sui,4.0
14,my burberry,burberry,5.0
14,chloe eau de parfum,chloé,2.0
14,incanto charms,salvatore ferragamo,5.0
15,good girl gone bad,by kilian,4.0
15,bamboo harmony,by kilian,2.0
15,marry me,lanvin,4.0
15,replica flower market,maison margiela,5.0
15,dot,comme des garcons,4.0
15,english pear & fressia,jomalone,3.0
15,l'ombre dans l'eau eau de toilette,diptyque,3.0
15,tam dao eau de toilette,diptyque,4.0
15,philosykos eau de toilette,diptyque,3.0
15,eau des sens eau de toilette,diptyque,5.0
15,eau rose eau de toilette,diptyque,4.0
15,ophelia,james heeley,4.0
15,blanche,byredo,4.0
15,la tulipe,byredo,2.0
16,eau des sens eau de toilette,diptyque,5.0
16,oud wood,tom ford,4.0
16,tuscan leather,tom ford,4.0
16,l'ombre dans l'eau de toilette,diptyque,5.0
16,do son eau de toilette,diptyque,4.0
16,34 boulevard saint germain,diptyque,3.0
16,tam dao eau de parfum,diptyque,4.0
16,vetyverio eau de parfum,diptyque,3.0
16,next to me,ramon monegal,5.0
16,agar musk,ramon monegal,4.0
16,flamenco,ramon monegal,4.0
16,cherry musk,ramon monegal,3.0
16,ma bergamote,fragonard,3.0
16,j'adore,christian dior,4.0
16,jimmy choo man,jimmy choo,1.0
16,mat; homme,masaki matsushima,2.0
16,eau de minthé eau de parfum,diptyque,5.0
16,creed royal water,creed,5.0
16,creed millésime impérial,creed,5.0
16,musc ravageur,frederic malle,3.0
17,chloe eau de parfum,chloé,4.0
17,chanel no 5 l'eau,chanel,5.0
17,coco mademoiselle,chanel,4.0
17,tacit,aesop,4.0
17,la tulipe,byredo,4.0
17,peony & blushsuede,jomalone,3.0
17,eau de rhubarbe ecarlate,hermès,5.0
17,pomelo,jo loves,4.0
