userId,perfumeId,rating,title
0,145,5.0,lime basil & mandarin jomalone
0,248,4.0,warm cotton clean
0,152,4.0,blackberry & bay jomalone
0,34,5.0,gypsy water byredo
0,38,2.0,mojave ghost byredo
0,51,3.0,slow dance byredo
0,160,5.0,wood sage & sea salt jomalone
1,221,3.0,eau triple lichen d'ecosse buly 1803
1,152,4.0,blackberry & bay jomalone
1,167,4.0,peony & blushsuede jomalone
1,287,3.0,alizarin penhaligon's
1,126,4.0,l'ombre dans l'eau eau de toilette diptyque
1,253,5.0,eclat d'arpege pour homme lanvin
1,337,5.0,modern princess lanvin
1,346,2.0,rumeur 2 rose lanvin
1,275,4.0,secret wish anna sui
1,375,3.0,fantasia anna sui
1,388,3.0,chance eau tendre chanel
2,222,5.0,eclat d'arpege lanvin
2,249,5.0,jeanne lanvin lanvin
2,162,5.0,english pear & fressia jomalone
2,288,5.0,illicit flower jimmy choo
2,269,3.0,jimmy choo jimmy choo
2,323,3.0,flight of fancy anna sui
3,223,4.0,lucky wish anna sui
3,37,5.0,blanche byredo
3,268,5.0,pansy lush
3,289,3.0,artisan john varvatos
3,265,3.0,chanel no 5 eau de parfum chanel
3,253,3.0,eclat d'arpege pour homme lanvin
3,296,2.0,miss dior blooming bouquet christian dior
3,188,5.0,melograno santa maria novella
3,361,4.0,b scent lush
3,162,4.0,english pear & fressia jomalone
3,389,3.0,은은한 비누 paffem
3,304,4.0,j'adore christian dior
4,224,4.0,ck all calvin klein
4,250,4.0,chanel no 5 l'eau chanel
4,109,5.0,vetyverio eau de toilette diptyque
4,290,5.0,grey vetiver tom ford
4,78,5.0,creed original vétiver creed
4,248,5.0,warm cotton clean
4,242,3.0,blue glow by jlo jennifer lopez
4,289,3.0,artisan john varvatos
4,291,5.0,sweety gourmand argenia
4,376,2.0,gabrielle chanel
4,236,4.0,libre yves saint laurent
4,160,4.0,wood sage & sea salt jomalone
4,407,5.0,bvlgari pour homme bvlgari
5,152,4.0,blackberry & bay jomalone
5,160,5.0,wood sage & sea salt jomalone
5,269,3.0,jimmy choo jimmy choo
5,291,4.0,sweety gourmand argenia
5,306,3.0,잔느 사마리의 초상 향기의미술관
5,324,3.0,레이디 고디바 향기의 미술관
5,265,3.0,chanel no 5 eau de parfum chanel
5,34,4.0,gypsy water byredo
5,50,4.0,rose noir byredo
5,377,3.0,what would love do lush
5,294,2.0,dirty lush
5,399,4.0,rose jam lush
5,256,3.0,american cream lush
5,268,4.0,pansy lush
5,414,4.0,dalilight salvador dali
5,418,3.0,j'adore in joy christian dior
5,422,5.0,jasmin perle de thé fragonard
6,225,3.0,tacit aesop
6,223,4.0,lucky wish anna sui
6,253,4.0,eclat d'arpege pour homme lanvin
6,292,1.0,mademoiselle rochas rochas
6,152,5.0,blackberry & bay jomalone
6,248,4.0,warm cotton clean
6,160,4.0,wood sage & sea salt jomalone
6,128,2.0,do son eau de toilette diptyque
6,112,3.0,tam dao eau de toilette diptyque
6,249,3.0,jeanne lanvin lanvin
6,311,4.0,flower by kenzo kenzo
6,242,4.0,blue glow by jlo jennifer lopez
7,37,4.0,blanche byredo
7,251,4.0,musk pure tom ford
7,270,4.0,baccarat rouge 540 maison francis kurkdjian
7,249,3.0,jeanne lanvin lanvin
7,307,3.0,white tea elizabeth arden
7,325,5.0,nuit et confidences annick goutal
7,338,3.0,amber musk aerin lauder
7,347,5.0,prada candy kiss prada
7,362,4.0,prada candy l'eau prada
7,378,4.0,pomelo paradis atelier cologne
8,226,5.0,incanto charms salvatore ferragamo
8,252,3.0,coco mademoiselle l'eau privée chanel
8,271,4.0,kenzo homme eau de parfum kenzo
8,246,4.0,eclat d’arpège lanvin
8,296,2.0,miss dior blooming bouquet christian dior
8,311,2.0,flower by kenzo kenzo
8,249,3.0,jeanne lanvin lanvin
